Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.809,52.778,633.336,0,0,633.336
75.299,0.80091,52.254,627.048,6.315,1.007,620.733
150.598,0.79282,51.729,620.748,12.503,2.014,608.245
225.897,0.78473,51.205,614.46,18.563,3.021,595.897
301.196,0.77664,50.681,608.172,24.496,4.028,583.676
376.495,0.76855,50.157,601.884,30.301,5.034,571.583
451.794,0.76046,49.632,595.584,35.979,6.041,559.605
527.093,0.75237,49.108,589.296,41.529,7.047,547.767
602.392,0.74428,48.584,583.008,46.951,8.053,536.057
677.69,0.73619,48.059,576.708,52.246,9.059,524.462
752.989,0.7281,47.535,570.42,57.413,10.065,513.007
828.288,0.72001,47.011,564.132,62.452,11.07,501.68
903.587,0.71192,46.487,557.844,67.364,12.076,490.48
978.886,0.70383,45.962,551.544,72.149,13.081,479.395
1054.185,0.69574,45.438,545.256,76.806,14.086,468.45
1129.484,0.68765,44.914,538.968,81.335,15.091,457.633
1204.783,0.67956,44.39,532.68,85.736,16.095,446.944
1280.082,0.67147,43.865,526.38,90.01,17.1,436.37
1355.381,0.66338,43.341,520.092,94.157,18.104,425.935
1430.68,0.65529,42.817,513.804,98.176,19.108,415.628
1505.979,0.6472,42.292,507.504,102.067,20.112,405.437
1581.278,0.63911,41.768,501.216,105.831,21.115,395.385
1656.577,0.63102,41.244,494.928,109.467,22.118,385.461
1731.876,0.62293,40.72,488.64,112.976,23.12,375.664
1807.175,0.61484,40.195,482.34,116.357,24.123,365.983
1882.474,0.60675,39.671,476.052,119.61,25.125,356.442
1957.772,0.59866,39.147,469.764,122.736,26.127,347.028
2033.071,0.59057,38.622,463.464,125.734,27.129,337.73
2108.37,0.58248,38.098,457.176,128.605,28.13,328.571
2183.669,0.57439,37.574,450.888,131.348,29.131,319.54
2258.968,0.5663,37.05,444.6,133.963,30.131,310.637
2334.267,0.55821,36.525,438.3,136.451,31.132,301.849
2409.566,0.55012,36.001,432.012,138.811,32.131,293.201
2484.865,0.54203,35.477,425.724,141.044,33.13,284.68
2560.164,0.53394,34.952,419.424,143.149,34.13,276.275
2635.463,0.52585,34.428,413.136,145.127,35.128,268.009
2710.762,0.51776,33.904,406.848,146.977,36.126,259.871
2786.061,0.50967,33.38,400.56,148.699,37.123,251.861
2861.36,0.50158,32.855,394.26,150.294,38.121,243.966
2936.659,0.49349,32.331,387.972,151.761,39.116,236.211
3011.958,0.4854,31.807,381.684,153.101,40.112,228.583
3087.257,0.47731,31.283,375.396,154.313,41.107,221.083
3162.555,0.46922,30.758,369.096,155.397,42.102,213.699
3237.854,0.46113,30.234,362.808,156.354,43.096,206.454
3313.153,0.45304,29.71,356.52,157.183,44.088,199.337
3388.452,0.44495,29.185,350.22,157.885,45.082,192.335
3463.751,0.43686,28.661,343.932,158.459,46.073,185.473
3539.05,0.42877,28.137,337.644,158.906,47.063,178.738
3614.349,0.42068,27.613,331.356,159.225,48.053,172.131
3689.648,0.41259,27.088,325.056,159.416,49.043,165.64
3764.947,0.4045,26.564,318.768,159.48,50.03,159.288
3840.246,0.39641,26.04,312.48,159.416,51.016,153.064
3915.545,0.38832,25.515,306.18,159.225,52.004,146.955
3990.844,0.38023,24.991,299.892,158.906,52.988,140.986
4066.143,0.37214,24.467,293.604,158.459,53.97,135.145
4141.442,0.36405,23.943,287.316,157.885,54.952,129.431
4216.741,0.35596,23.418,281.016,157.183,55.934,123.833
4292.04,0.34787,22.894,274.728,156.354,56.912,118.374
4367.339,0.33978,22.37,268.44,155.397,57.889,113.043
4442.637,0.33169,21.845,262.14,154.313,58.867,107.827
4517.936,0.3236,21.321,255.852,153.101,59.84,102.751
4593.235,0.31551,20.797,249.564,151.761,60.81,97.803
4668.534,0.30742,20.273,243.276,150.294,61.779,92.982
4743.833,0.29933,19.748,236.976,148.699,62.749,88.277
4819.132,0.29124,19.224,230.688,146.977,63.712,83.711
4894.431,0.28315,18.7,224.4,145.127,64.673,79.273
4969.73,0.27506,18.176,218.112,143.149,65.631,74.963
5045.029,0.26697,17.651,211.812,141.044,66.589,70.768
5120.328,0.25888,17.127,205.524,138.811,67.54,66.713
5195.627,0.25079,16.603,199.236,136.451,68.487,62.785
5270.926,0.2427,16.078,192.936,133.963,69.434,58.973
5346.225,0.23461,15.554,186.648,131.348,70.372,55.3
5421.524,0.22652,15.03,180.36,128.605,71.305,51.755
5496.823,0.21843,14.506,174.072,125.734,72.231,48.338
5572.122,0.21034,13.981,167.772,122.736,73.156,45.036
5647.421,0.20225,13.457,161.484,119.61,74.069,41.874
5722.719,0.19416,12.933,155.196,116.357,74.974,38.839
5798.018,0.18607,12.408,148.896,112.976,75.876,35.92
5873.317,0.17798,11.884,142.608,109.467,76.761,33.141
5948.616,0.16989,11.36,136.32,105.831,77.634,30.489
6023.915,0.1618,10.836,130.032,102.067,78.494,27.965
6099.214,0.15371,10.311,123.732,98.176,79.346,25.556
6174.513,0.14562,9.787,117.444,94.157,80.172,23.287
6249.812,0.13753,9.263,111.156,90.01,80.976,21.146
6325.111,0.12944,8.738,104.856,85.736,81.765,19.12
6400.41,0.12135,8.214,98.568,81.335,82.517,17.233
6475.709,0.11326,7.69,92.28,76.806,83.231,15.474
6551.008,0.10517,7.166,85.992,72.149,83.902,13.843
6626.307,0.09708,6.641,79.692,67.364,84.53,12.328
6701.606,0.08899,6.117,73.404,62.452,85.08,10.952
6776.905,0.0809,5.593,67.116,57.413,85.543,9.703
6852.204,0.07281,5.069,60.828,52.246,85.891,8.582
6927.502,0.06472,4.544,54.528,46.951,86.104,7.577
7002.801,0.05663,4.02,48.24,41.529,86.088,6.711
7078.1,0.04854,3.496,41.952,35.979,85.762,5.973
7153.399,0.04045,2.971,35.652,30.301,84.991,5.351
7228.698,0.03236,2.447,29.364,24.496,83.422,4.868
7303.997,0.02427,1.923,23.076,18.563,80.443,4.513
7379.296,0.01618,1.399,16.788,12.503,74.476,4.285
7454.595,0.00809,0.874,10.488,6.315,60.212,4.173
7529.894,0,0.35,4.2,0,0,4.2
