Speed (RPM),Torque (Nm),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,1.408,19.878,238.536,0,0,238.536
16.075,1.39392,19.684,236.208,2.346,0.993,233.862
32.15,1.37984,19.49,233.88,4.646,1.986,229.234
48.225,1.36576,19.296,231.552,6.897,2.979,224.655
64.3,1.35168,19.102,229.224,9.102,3.971,220.122
80.375,1.3376,18.908,226.896,11.258,4.962,215.638
96.45,1.32352,18.714,224.568,13.368,5.953,211.2
112.525,1.30944,18.52,222.24,15.43,6.943,206.81
128.6,1.29536,18.326,219.912,17.445,7.933,202.467
144.675,1.28128,18.132,217.584,19.412,8.922,198.172
160.75,1.2672,17.938,215.256,21.332,9.91,193.924
176.824,1.25312,17.744,212.928,23.204,10.898,189.724
192.899,1.23904,17.55,210.6,25.029,11.885,185.571
208.974,1.22496,17.356,208.272,26.807,12.871,181.465
225.049,1.21088,17.162,205.944,28.537,13.857,177.407
241.124,1.1968,16.968,203.616,30.22,14.842,173.396
257.199,1.18272,16.774,201.288,31.855,15.826,169.433
273.274,1.16864,16.58,198.96,33.443,16.809,165.517
289.349,1.15456,16.386,196.632,34.984,17.792,161.648
305.424,1.14048,16.192,194.304,36.477,18.773,157.827
321.499,1.1264,15.998,191.976,37.923,19.754,154.053
337.574,1.11232,15.804,189.648,39.321,20.734,150.327
353.649,1.09824,15.61,187.32,40.672,21.713,146.648
369.724,1.08416,15.416,184.992,41.976,22.691,143.016
385.799,1.07008,15.222,182.664,43.232,23.667,139.432
401.874,1.056,15.029,180.348,44.441,24.642,135.907
417.949,1.04192,14.835,178.02,45.602,25.616,132.418
434.024,1.02784,14.641,175.692,46.716,26.59,128.976
450.099,1.01376,14.447,173.364,47.783,27.562,125.581
466.174,0.99968,14.253,171.036,48.802,28.533,122.234
482.249,0.9856,14.059,168.708,49.774,29.503,118.934
498.323,0.97152,13.865,166.38,50.698,30.471,115.682
514.398,0.95744,13.671,164.052,51.575,31.438,112.477
530.473,0.94336,13.477,161.724,52.405,32.404,109.319
546.548,0.92928,13.283,159.396,53.187,33.368,106.209
562.623,0.9152,13.089,157.068,53.922,34.33,103.146
578.698,0.90112,12.895,154.74,54.609,35.291,100.131
594.773,0.88704,12.701,152.412,55.249,36.25,97.163
610.848,0.87296,12.507,150.084,55.841,37.206,94.243
626.923,0.85888,12.313,147.756,56.387,38.162,91.369
642.998,0.8448,12.119,145.428,56.884,39.115,88.544
659.073,0.83072,11.925,143.1,57.335,40.066,85.765
675.148,0.81664,11.731,140.772,57.738,41.015,83.034
691.223,0.80256,11.537,138.444,58.093,41.961,80.351
707.298,0.78848,11.343,136.116,58.401,42.905,77.715
723.373,0.7744,11.149,133.788,58.662,43.847,75.126
739.448,0.76032,10.955,131.46,58.875,44.785,72.585
755.523,0.74624,10.761,129.132,59.041,45.721,70.091
771.598,0.73216,10.567,126.804,59.16,46.655,67.644
787.673,0.71808,10.373,124.476,59.231,47.584,65.245
803.748,0.704,10.179,122.148,59.254,48.51,62.894
819.822,0.68992,9.985,119.82,59.231,49.433,60.589
835.897,0.67584,9.791,117.492,59.16,50.352,58.332
851.972,0.66176,9.597,115.164,59.041,51.267,56.123
868.047,0.64768,9.403,112.836,58.875,52.177,53.961
884.122,0.6336,9.209,110.508,58.662,53.084,51.846
900.197,0.61952,9.015,108.18,58.401,53.985,49.779
916.272,0.60544,8.821,105.852,58.093,54.881,47.759
932.347,0.59136,8.627,103.524,57.738,55.773,45.786
948.422,0.57728,8.433,101.196,57.335,56.657,43.861
964.497,0.5632,8.239,98.868,56.884,57.535,41.984
980.572,0.54912,8.045,96.54,56.387,58.408,40.153
996.647,0.53504,7.851,94.212,55.841,59.272,38.371
