Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,3.408,126.306,1515.672,0,0,1515.672
41.68,3.37392,125.05,1500.6,14.726,0.981,1485.874
83.36,3.33984,123.794,1485.528,29.155,1.963,1456.373
125.04,3.30576,122.539,1470.468,43.286,2.944,1427.182
166.72,3.27168,121.283,1455.396,57.12,3.925,1398.276
208.4,3.2376,120.027,1440.324,70.656,4.906,1369.668
250.08,3.20352,118.771,1425.252,83.895,5.886,1341.357
291.76,3.16944,117.515,1410.18,96.836,6.867,1313.344
333.44,3.13536,116.26,1395.12,109.48,7.847,1285.64
375.12,3.10128,115.004,1380.048,121.826,8.828,1258.222
416.8,3.0672,113.748,1364.976,133.875,9.808,1231.101
458.48,3.03312,112.492,1349.904,145.626,10.788,1204.278
500.16,2.99904,111.237,1334.844,157.08,11.768,1177.764
541.84,2.96496,109.981,1319.772,168.236,12.747,1151.536
583.52,2.93088,108.725,1304.7,179.095,13.727,1125.605
625.2,2.8968,107.469,1289.628,189.656,14.706,1099.972
666.88,2.86272,106.213,1274.556,199.92,15.685,1074.636
708.56,2.82864,104.958,1259.496,209.886,16.664,1049.61
750.24,2.79456,103.702,1244.424,219.554,17.643,1024.87
791.92,2.76048,102.446,1229.352,228.926,18.622,1000.426
833.6,2.7264,101.19,1214.28,237.999,19.6,976.281
875.28,2.69232,99.934,1199.208,246.776,20.578,952.432
916.96,2.65824,98.679,1184.148,255.254,21.556,928.894
958.64,2.62416,97.423,1169.076,263.436,22.534,905.64
1000.32,2.59008,96.167,1154.004,271.319,23.511,882.685
1042,2.556,94.911,1138.932,278.906,24.488,860.026
1083.68,2.52192,93.655,1123.86,286.194,25.465,837.666
1125.36,2.48784,92.4,1108.8,293.186,26.442,815.614
1167.04,2.45376,91.144,1093.728,299.879,27.418,793.849
1208.72,2.41968,89.888,1078.656,306.276,28.394,772.38
1250.4,2.3856,88.632,1063.584,312.374,29.37,751.21
1292.08,2.35152,87.377,1048.524,318.175,30.345,730.349
1333.76,2.31744,86.121,1033.452,323.679,31.32,709.773
1375.44,2.28336,84.865,1018.38,328.885,32.295,689.495
1417.12,2.24928,83.609,1003.308,333.794,33.269,669.514
1458.8,2.2152,82.353,988.236,338.405,34.243,649.831
1500.48,2.18112,81.098,973.176,342.719,35.217,630.457
1542.16,2.14704,79.842,958.104,346.735,36.19,611.369
1583.84,2.11296,78.586,943.032,350.454,37.162,592.578
1625.52,2.07888,77.33,927.96,353.875,38.135,574.085
1667.2,2.0448,76.074,912.888,356.999,39.107,555.889
1708.88,2.01072,74.819,897.828,359.825,40.077,538.003
1750.56,1.97664,73.563,882.756,362.354,41.048,520.402
1792.24,1.94256,72.307,867.684,364.585,42.018,503.099
1833.92,1.90848,71.051,852.612,366.519,42.988,486.093
1875.6,1.8744,69.795,837.54,368.155,43.957,469.385
1917.28,1.84032,68.54,822.48,369.494,44.924,452.986
1958.96,1.80624,67.284,807.408,370.535,45.892,436.873
2000.64,1.77216,66.028,792.336,371.279,46.859,421.057
2042.32,1.73808,64.772,777.264,371.725,47.825,405.539
2084,1.704,63.517,762.204,371.874,48.789,390.33
2125.68,1.66992,62.261,747.132,371.725,49.754,375.407
2167.36,1.63584,61.005,732.06,371.279,50.717,360.781
